name,phone,email
Deanna Ross,778-230-5730,deanna.ross@myshop.com
Robert Mann,778-159-1152,robert.mann@myshop.com
Joshua Meyer,778-500-6113,joshua.meyer@myshop.com
Rachel Sanchez,236-057-9517,rachel.sanchez@myshop.com
Curtis Lopez,778-269-3083,curtis.lopez@myshop.com
Jonathan Phillips,236-169-6400,jonathan.phillips@myshop.com
Madeline Pace,604-235-0916,madeline.pace@myshop.com
Jennifer Moore,604-702-3735,jennifer.moore@myshop.com
Robert Scott,236-018-9928,robert.scott@myshop.com
Katherine Adkins,778-907-7263,katherine.adkins@myshop.com
Shawn Pham,778-827-9743,shawn.pham@myshop.com
Nichole Morris,778-976-7735,nichole.morris@myshop.com
Charles Walls,236-503-1402,charles.walls@myshop.com
Matthew Cohen,236-012-2271,matthew.cohen@myshop.com
Kyle Green,236-594-5021,kyle.green@myshop.com
Shirley Richard,778-040-4455,shirley.richard@

